ticker,model,pred_len,RMSE,MAE,R2,VarianceRatio
ABB,Naive,1,0.2349,0.1663,0.9588,1.0093
ABB,Linear,1,0.4013,0.3125,0.8799,0.9412
ABB,DLinear,1,0.4764,0.3917,0.8307,0.94
ABB,NLinear,1,0.2907,0.217,0.937,1.0358
ABB,Naive,5,0.3754,0.2625,0.8898,1.0262
ABB,Linear,5,0.8816,0.7077,0.392,0.9794
ABB,DLinear,5,0.7426,0.5954,0.5687,0.9394
ABB,NLinear,5,0.3994,0.2958,0.8752,1.0115
ABB,Naive,21,0.7041,0.5236,0.5323,1.1078
ABB,Linear,21,1.9223,1.496,-2.486,1.2161
ABB,DLinear,21,2.1276,1.7114,-3.2703,1.2432
ABB,NLinear,21,0.7679,0.5797,0.4437,1.1171
ACB,Naive,1,0.3639,0.2483,0.8592,0.992
ACB,Linear,1,0.6317,0.4914,0.5758,0.9475
ACB,DLinear,1,0.5331,0.4192,0.6979,0.9236
ACB,NLinear,1,0.4041,0.2972,0.8264,0.9891
ACB,Naive,5,0.5423,0.4001,0.6774,1.0052
ACB,Linear,5,0.7888,0.6039,0.3176,1.0741
ACB,DLinear,5,0.6946,0.5418,0.4708,0.9312
ACB,NLinear,5,0.6177,0.4681,0.5815,0.9939
ACB,Naive,21,0.7964,0.6204,0.19,1.1043
ACB,Linear,21,1.1582,0.9441,-0.7134,1.14
ACB,DLinear,21,1.0317,0.8248,-0.3593,1.0182
ACB,NLinear,21,0.9132,0.7084,-0.0651,1.064
BID,Naive,1,1.0396,0.6932,0.9575,1.0
BID,Linear,1,2.0217,1.3643,0.8392,1.0141
BID,DLinear,1,2.3679,1.5431,0.7795,0.95
BID,NLinear,1,1.136,0.7753,0.9492,0.9959
BID,Naive,5,1.9777,1.1778,0.85,1.0
BID,Linear,5,3.312,2.1263,0.5794,1.0282
BID,DLinear,5,2.9562,1.9108,0.6649,1.0105
BID,NLinear,5,2.1958,1.3608,0.8151,1.0522
BID,Naive,21,4.735,2.9489,0.2248,1.0007
BID,Linear,21,5.7934,3.9634,-0.1605,1.1084
BID,DLinear,21,5.5886,3.7857,-0.0799,1.0941
BID,NLinear,21,5.4278,3.632,-0.0186,1.2085
BVB,Naive,1,0.2656,0.172,0.8744,1.0046
BVB,Linear,1,0.4354,0.344,0.6626,0.9762
BVB,DLinear,1,0.3723,0.2672,0.7532,0.9493
BVB,NLinear,1,0.2755,0.1838,0.8649,0.9899
BVB,Naive,5,0.417,0.2921,0.6823,1.0123
BVB,Linear,5,0.605,0.4772,0.331,0.9734
BVB,DLinear,5,0.5146,0.3875,0.5161,0.9572
BVB,NLinear,5,0.4397,0.3185,0.6466,0.997
BVB,Naive,21,0.7025,0.5355,0.0319,1.0362
BVB,Linear,21,1.0743,0.8591,-1.2641,1.0343
BVB,DLinear,21,1.0509,0.8415,-1.1667,1.0494
BVB,NLinear,21,0.7609,0.5984,-0.1358,1.0105
CTG,Naive,1,0.6965,0.5059,0.8831,1.0011
CTG,Linear,1,1.7316,1.3205,0.2775,0.9499
CTG,DLinear,1,1.0953,0.8007,0.711,0.9937
CTG,NLinear,1,0.6888,0.5063,0.8857,0.9894
CTG,Naive,5,1.2392,0.8723,0.6379,1.002
CTG,Linear,5,1.794,1.3451,0.2411,0.9369
CTG,DLinear,5,1.4252,1.0295,0.521,0.9875
CTG,NLinear,5,1.2152,0.8606,0.6518,1.0275
CTG,Naive,21,2.1934,1.6033,-0.0405,0.9974
CTG,Linear,21,2.7833,2.2062,-0.6754,1.006
CTG,DLinear,21,2.2762,1.7517,-0.1205,1.0143
CTG,NLinear,21,2.0845,1.5878,0.0603,1.0997
EIB,Naive,1,0.5564,0.421,0.8641,1.0075
EIB,Linear,1,0.8961,0.6882,0.6475,0.9706
EIB,DLinear,1,1.2062,0.921,0.3613,1.0746
EIB,NLinear,1,0.5583,0.4347,0.8632,1.0212
EIB,Naive,5,0.9563,0.7138,0.5798,1.0411
EIB,Linear,5,1.7097,1.2817,-0.3431,1.1734
EIB,DLinear,5,1.87,1.4452,-0.6067,1.202
EIB,NLinear,5,1.1126,0.8249,0.4312,1.0791
EIB,Naive,21,1.5521,1.1395,-0.4415,1.2556
EIB,Linear,21,3.7512,2.8694,-7.4202,1.963
EIB,DLinear,21,3.884,2.9638,-8.0268,2.0241
EIB,NLinear,21,2.0074,1.429,-1.4114,1.5396
HDB,Naive,1,0.6071,0.4255,0.8833,1.0145
HDB,Linear,1,1.0553,0.8635,0.6474,0.9813
HDB,DLinear,1,0.8379,0.6332,0.7777,0.9766
HDB,NLinear,1,0.6177,0.4545,0.8792,1.015
HDB,Naive,5,0.917,0.6889,0.735,1.023
HDB,Linear,5,1.355,1.0989,0.4214,0.9993
HDB,DLinear,5,1.174,0.8941,0.5656,0.9862
HDB,NLinear,5,0.9747,0.7356,0.7006,1.026
HDB,Naive,21,1.6503,1.2746,0.1785,1.0552
HDB,Linear,21,2.039,1.6335,-0.2541,1.069
HDB,DLinear,21,2.1091,1.6535,-0.3418,1.1042
HDB,NLinear,21,1.9026,1.4909,-0.0919,1.1527
KLB,Naive,1,0.3536,0.2605,0.9234,1.0127
KLB,Linear,1,0.8627,0.7218,0.5444,1.0321
KLB,DLinear,1,0.7207,0.56,0.682,1.0258
KLB,NLinear,1,0.3877,0.3014,0.908,1.0136
KLB,Naive,5,0.6126,0.4483,0.7638,1.035
KLB,Linear,5,0.9562,0.771,0.4244,1.1072
KLB,DLinear,5,0.889,0.687,0.5025,1.1079
KLB,NLinear,5,0.7477,0.5629,0.6481,1.104
KLB,Naive,21,1.05,0.8428,0.3095,1.0244
KLB,Linear,21,1.4199,1.1046,-0.2627,1.3158
KLB,DLinear,21,1.3463,1.0615,-0.1352,1.2972
KLB,NLinear,21,1.3283,1.0513,-0.1051,1.2523
LPB,Naive,1,0.9215,0.699,0.9421,0.9989
LPB,Linear,1,2.8667,2.2187,0.4393,1.0791
LPB,DLinear,1,1.835,1.3919,0.7703,0.957
LPB,NLinear,1,1.0296,0.8007,0.9277,0.9755
LPB,Naive,5,1.6138,1.1326,0.8258,1.0014
LPB,Linear,5,3.9905,3.388,-0.065,0.8354
LPB,DLinear,5,2.991,2.5311,0.4017,0.7947
LPB,NLinear,5,1.7254,1.2669,0.8009,0.9359
