ticker,pred_len,model,low,normal,crisis
ABB,1,Linear,0.17,0.28,0.39
ABB,1,DLinear,0.3,0.35,0.46
ABB,1,NLinear,0.2,0.21,0.23
ABB,5,Linear,0.51,0.65,0.81
ABB,5,DLinear,0.35,0.57,0.67
ABB,5,NLinear,0.25,0.27,0.34
ABB,21,Linear,1.42,1.25,1.74
ABB,21,DLinear,1.68,1.5,1.92
ABB,21,NLinear,0.39,0.54,0.65
ACB,1,Linear,,0.45,0.54
ACB,1,DLinear,,0.35,0.49
ACB,1,NLinear,,0.24,0.36
ACB,5,Linear,,0.58,0.63
ACB,5,DLinear,,0.52,0.56
ACB,5,NLinear,,0.44,0.49
ACB,21,Linear,,0.91,0.98
ACB,21,DLinear,,0.81,0.84
ACB,21,NLinear,,0.69,0.72
BID,1,Linear,0.41,0.69,1.88
BID,1,DLinear,0.28,0.73,2.17
BID,1,NLinear,0.25,0.4,1.06
BID,5,Linear,1.6,0.97,2.87
BID,5,DLinear,1.53,0.94,2.53
BID,5,NLinear,1.35,0.76,1.73
BID,21,Linear,3.48,2.86,4.73
BID,21,DLinear,3.48,2.86,4.42
BID,21,NLinear,3.2,2.77,4.24
BVB,1,Linear,0.34,0.32,0.38
BVB,1,DLinear,0.23,0.26,0.3
BVB,1,NLinear,0.14,0.16,0.23
BVB,5,Linear,0.68,0.44,0.42
BVB,5,DLinear,0.54,0.36,0.35
BVB,5,NLinear,0.43,0.28,0.31
BVB,21,Linear,1.08,0.84,0.75
BVB,21,DLinear,1.08,0.83,0.71
BVB,21,NLinear,0.76,0.63,0.45
CTG,1,Linear,1.08,1.03,1.58
CTG,1,DLinear,0.48,0.62,0.97
CTG,1,NLinear,0.49,0.41,0.59
CTG,5,Linear,2.58,1.2,1.43
CTG,5,DLinear,2.27,0.96,1.06
CTG,5,NLinear,2.19,0.82,0.86
CTG,21,Linear,2.04,2.2,2.22
CTG,21,DLinear,2.16,1.9,1.61
CTG,21,NLinear,2.35,1.78,1.39
EIB,1,Linear,,0.66,0.71
EIB,1,DLinear,,0.74,1.05
EIB,1,NLinear,,0.32,0.51
EIB,5,Linear,,1.5,1.14
EIB,5,DLinear,,1.67,1.3
EIB,5,NLinear,,0.8,0.84
EIB,21,Linear,,4.24,2.14
EIB,21,DLinear,,4.38,2.22
EIB,21,NLinear,,1.98,1.13
HDB,1,Linear,,0.8,0.88
HDB,1,DLinear,,0.47,0.68
HDB,1,NLinear,,0.36,0.48
HDB,5,Linear,,1.05,1.11
HDB,5,DLinear,,0.76,0.92
HDB,5,NLinear,,0.64,0.76
HDB,21,Linear,,2.29,1.56
HDB,21,DLinear,,2.18,1.59
HDB,21,NLinear,,1.76,1.46
KLB,1,Linear,0.51,0.56,0.86
KLB,1,DLinear,0.39,0.48,0.63
KLB,1,NLinear,0.28,0.29,0.31
KLB,5,Linear,0.66,0.59,0.9
KLB,5,DLinear,0.64,0.57,0.77
KLB,5,NLinear,0.56,0.57,0.56
KLB,21,Linear,0.84,1.12,1.12
KLB,21,DLinear,0.68,0.96,1.16
KLB,21,NLinear,1.26,0.98,1.09
LPB,1,Linear,0.68,2.44,2.47
LPB,1,DLinear,0.54,1.29,1.77
LPB,1,NLinear,0.58,0.77,0.9
LPB,5,Linear,2.52,3.95,3.04
LPB,5,DLinear,2.29,2.64,2.49
LPB,5,NLinear,0.9,1.33,1.32
LPB,21,Linear,3.65,4.76,4.0
LPB,21,DLinear,4.14,4.43,3.7
LPB,21,NLinear,2.19,2.45,2.11
MBB,1,Linear,1.15,1.29,1.3
MBB,1,DLinear,1.46,0.86,1.19
MBB,1,NLinear,0.25,0.33,0.47
MBB,5,Linear,,0.94,1.09
MBB,5,DLinear,,0.99,1.01
MBB,5,NLinear,,0.64,0.59
MBB,21,Linear,,2.84,2.29
MBB,21,DLinear,,2.53,2.07
MBB,21,NLinear,,1.37,0.8
MSB,1,Linear,0.22,0.28,0.32
MSB,1,DLinear,0.18,0.22,0.25
MSB,1,NLinear,0.12,0.16,0.19
MSB,5,Linear,0.44,0.44,0.42
MSB,5,DLinear,0.36,0.42,0.39
MSB,5,NLinear,0.27,0.26,0.24
MSB,21,Linear,1.25,1.03,0.83
MSB,21,DLinear,1.1,0.9,0.73
MSB,21,NLinear,0.52,0.44,0.5
OCB,1,Linear,0.33,0.5,0.41
OCB,1,DLinear,0.16,0.31,0.26
OCB,1,NLinear,0.13,0.23,0.18
OCB,5,Linear,0.22,0.32,0.28
OCB,5,DLinear,0.22,0.34,0.29
OCB,5,NLinear,0.22,0.26,0.25
OCB,21,Linear,0.33,0.36,0.42
OCB,21,DLinear,0.3,0.36,0.47
OCB,21,NLinear,0.38,0.39,0.34
SHB,1,Linear,2.43,1.65,1.64
SHB,1,DLinear,1.05,0.77,0.88
SHB,1,NLinear,0.22,0.25,0.31
SHB,5,Linear,2.3,2.05,2.0
SHB,5,DLinear,1.29,1.15,1.11
SHB,5,NLinear,0.3,0.42,0.44
SHB,21,Linear,4.62,4.63,4.21
SHB,21,DLinear,3.89,4.01,3.55
SHB,21,NLinear,0.45,0.8,0.68
SSB,1,Linear,0.36,0.35,0.51
SSB,1,DLinear,0.18,0.2,0.35
SSB,1,NLinear,0.1,0.14,0.31
SSB,5,Linear,0.34,0.33,0.54
SSB,5,DLinear,0.32,0.28,0.46
SSB,5,NLinear,0.18,0.22,0.33
SSB,21,Linear,0.57,0.53,0.73
SSB,21,DLinear,0.65,0.56,0.69
SSB,21,NLinear,0.21,0.36,0.42
STB,1,Linear,,1.87,2.34
STB,1,DLinear,,1.43,2.31
STB,1,NLinear,,0.92,1.34
STB,5,Linear,,2.47,3.46
STB,5,DLinear,,2.22,3.39
STB,5,NLinear,,1.84,2.04
STB,21,Linear,,3.76,6.15
STB,21,DLinear,,4.34,6.88
STB,21,NLinear,,3.89,3.28
TCB,1,Linear,0.12,0.97,1.32
TCB,1,DLinear,0.55,0.98,1.19
TCB,1,NLinear,0.69,0.59,0.61
TCB,5,Linear,2.15,1.7,2.36
TCB,5,DLinear,2.33,1.45,1.58
TCB,5,NLinear,1.3,1.12,0.97
TCB,21,Linear,1.75,3.46,3.12
TCB,21,DLinear,1.38,3.06,2.58
TCB,21,NLinear,1.22,2.54,1.53
TPB,1,Linear,0.25,0.56,0.58
TPB,1,DLinear,0.09,0.4,0.5
TPB,1,NLinear,0.14,0.25,0.33
TPB,5,Linear,0.75,0.71,0.76
TPB,5,DLinear,0.93,0.64,0.75
TPB,5,NLinear,0.52,0.4,0.43
TPB,21,Linear,1.17,1.13,1.08
TPB,21,DLinear,1.43,1.38,1.34
TPB,21,NLinear,0.81,0.72,0.81
VCB,1,Linear,0.44,0.77,1.59
VCB,1,DLinear,0.48,0.77,1.93
VCB,1,NLinear,0.3,0.59,1.15
VCB,5,Linear,1.07,1.63,2.93
VCB,5,DLinear,0.82,1.45,2.14
VCB,5,NLinear,0.99,1.44,1.71
VCB,21,Linear,4.37,1.98,3.55
VCB,21,DLinear,4.38,1.97,3.33
VCB,21,NLinear,4.61,2.48,3.39
VIB,1,Linear,0.36,0.34,0.35
VIB,1,DLinear,0.39,0.29,0.36
VIB,1,NLinear,0.22,0.2,0.31
VIB,5,Linear,0.58,0.41,0.46
VIB,5,DLinear,0.62,0.39,0.46
VIB,5,NLinear,0.56,0.32,0.4
VIB,21,Linear,0.77,0.59,0.68
VIB,21,DLinear,1.06,0.74,0.64
VIB,21,NLinear,0.83,0.61,0.56
VPB,1,Linear,,1.52,2.1
VPB,1,DLinear,,1.0,1.71
VPB,1,NLinear,,0.51,0.62
VPB,5,Linear,,2.05,2.86
VPB,5,DLinear,,1.94,2.52
VPB,5,NLinear,,1.3,0.92
VPB,21,Linear,,2.9,3.66
VPB,21,DLinear,,4.12,4.94
VPB,21,NLinear,,2.02,1.73
