fold,model,pred_len,MAE,ticker
1,Linear,1,0.17,ABB
1,DLinear,1,0.16,ABB
1,NLinear,1,0.14,ABB
1,Naive,1,0.12,ABB
2,Linear,1,0.33,ABB
2,DLinear,1,0.29,ABB
2,NLinear,1,0.23,ABB
2,Naive,1,0.2,ABB
3,Linear,1,0.33,ABB
3,DLinear,1,0.35,ABB
3,NLinear,1,0.23,ABB
3,Naive,1,0.19,ABB
4,Linear,1,0.29,ABB
4,DLinear,1,0.41,ABB
4,NLinear,1,0.21,ABB
4,Naive,1,0.15,ABB
1,Linear,5,0.24,ABB
1,DLinear,5,0.22,ABB
1,NLinear,5,0.21,ABB
1,Naive,5,0.2,ABB
2,Linear,5,0.54,ABB
2,DLinear,5,0.42,ABB
2,NLinear,5,0.35,ABB
2,Naive,5,0.35,ABB
3,Linear,5,0.65,ABB
3,DLinear,5,0.53,ABB
3,NLinear,5,0.31,ABB
3,Naive,5,0.29,ABB
4,Linear,5,0.72,ABB
4,DLinear,5,0.61,ABB
4,NLinear,5,0.29,ABB
4,Naive,5,0.25,ABB
1,Linear,21,0.37,ABB
1,DLinear,21,0.35,ABB
1,NLinear,21,0.35,ABB
1,Naive,21,0.36,ABB
2,Linear,21,1.22,ABB
2,DLinear,21,1.14,ABB
2,NLinear,21,0.95,ABB
2,Naive,21,1.02,ABB
3,Linear,21,1.47,ABB
3,DLinear,21,1.6,ABB
3,NLinear,21,0.66,ABB
3,Naive,21,0.67,ABB
4,Linear,21,1.41,ABB
4,DLinear,21,1.68,ABB
4,NLinear,21,0.59,ABB
4,Naive,21,0.47,ABB
1,Linear,1,0.35,ACB
1,DLinear,1,0.4,ACB
1,NLinear,1,0.22,ACB
1,Naive,1,0.2,ACB
2,Linear,1,0.66,ACB
2,DLinear,1,0.53,ACB
2,NLinear,1,0.31,ACB
2,Naive,1,0.3,ACB
3,Linear,1,0.52,ACB
3,DLinear,1,0.41,ACB
3,NLinear,1,0.28,ACB
3,Naive,1,0.22,ACB
4,Linear,1,0.46,ACB
4,DLinear,1,0.43,ACB
4,NLinear,1,0.31,ACB
4,Naive,1,0.28,ACB
1,Linear,5,0.57,ACB
1,DLinear,5,0.48,ACB
1,NLinear,5,0.39,ACB
1,Naive,5,0.37,ACB
2,Linear,5,0.89,ACB
2,DLinear,5,0.73,ACB
2,NLinear,5,0.56,ACB
2,Naive,5,0.56,ACB
3,Linear,5,0.68,ACB
3,DLinear,5,0.56,ACB
3,NLinear,5,0.46,ACB
3,Naive,5,0.38,ACB
4,Linear,5,0.55,ACB
4,DLinear,5,0.52,ACB
4,NLinear,5,0.48,ACB
4,Naive,5,0.44,ACB
1,Linear,21,0.86,ACB
1,DLinear,21,0.82,ACB
1,NLinear,21,0.81,ACB
1,Naive,21,0.78,ACB
2,Linear,21,1.51,ACB
2,DLinear,21,1.51,ACB
2,NLinear,21,1.3,ACB
2,Naive,21,1.39,ACB
3,Linear,21,1.2,ACB
3,DLinear,21,0.99,ACB
3,NLinear,21,0.81,ACB
3,Naive,21,0.66,ACB
4,Linear,21,0.88,ACB
4,DLinear,21,0.81,ACB
4,NLinear,21,0.74,ACB
4,Naive,21,0.65,ACB
1,Linear,1,0.7,BID
1,DLinear,1,0.69,BID
1,NLinear,1,0.4,BID
1,Naive,1,0.38,BID
2,Linear,1,0.7,BID
2,DLinear,1,0.67,BID
2,NLinear,1,0.51,BID
2,Naive,1,0.49,BID
3,Linear,1,0.71,BID
3,DLinear,1,0.57,BID
3,NLinear,1,0.4,BID
3,Naive,1,0.38,BID
4,Linear,1,2.03,BID
4,DLinear,1,2.5,BID
4,NLinear,1,1.16,BID
4,Naive,1,1.01,BID
1,Linear,5,1.0,BID
1,DLinear,5,0.86,BID
1,NLinear,5,0.73,BID
1,Naive,5,0.77,BID
2,Linear,5,0.93,BID
2,DLinear,5,0.87,BID
2,NLinear,5,0.75,BID
2,Naive,5,0.77,BID
3,Linear,5,0.78,BID
3,DLinear,5,0.74,BID
3,NLinear,5,0.61,BID
3,Naive,5,0.61,BID
4,Linear,5,3.47,BID
4,DLinear,5,3.05,BID
4,NLinear,5,2.06,BID
4,Naive,5,1.67,BID
1,Linear,21,1.83,BID
1,DLinear,21,1.72,BID
1,NLinear,21,1.77,BID
1,Naive,21,1.62,BID
2,Linear,21,1.31,BID
2,DLinear,21,1.27,BID
2,NLinear,21,1.18,BID
2,Naive,21,1.48,BID
3,Linear,21,1.01,BID
3,DLinear,21,1.01,BID
3,NLinear,21,1.07,BID
3,Naive,21,1.06,BID
4,Linear,21,6.03,BID
4,DLinear,21,5.59,BID
4,NLinear,21,5.38,BID
4,Naive,21,3.79,BID
1,Linear,1,0.32,BVB
1,DLinear,1,0.32,BVB
1,NLinear,1,0.23,BVB
1,Naive,1,0.23,BVB
2,Linear,1,0.36,BVB
2,DLinear,1,0.35,BVB
2,NLinear,1,0.28,BVB
2,Naive,1,0.27,BVB
3,Linear,1,0.36,BVB
3,DLinear,1,0.27,BVB
3,NLinear,1,0.17,BVB
3,Naive,1,0.16,BVB
4,Linear,1,0.33,BVB
4,DLinear,1,0.26,BVB
4,NLinear,1,0.21,BVB
4,Naive,1,0.19,BVB
1,Linear,5,0.43,BVB
1,DLinear,5,0.41,BVB
1,NLinear,5,0.38,BVB
1,Naive,5,0.38,BVB
2,Linear,5,0.5,BVB
2,DLinear,5,0.46,BVB
2,NLinear,5,0.39,BVB
2,Naive,5,0.4,BVB
3,Linear,5,0.5,BVB
3,DLinear,5,0.4,BVB
3,NLinear,5,0.32,BVB
3,Naive,5,0.27,BVB
4,Linear,5,0.46,BVB
4,DLinear,5,0.38,BVB
4,NLinear,5,0.33,BVB
4,Naive,5,0.32,BVB
1,Linear,21,0.67,BVB
1,DLinear,21,0.65,BVB
1,NLinear,21,0.62,BVB
1,Naive,21,0.79,BVB
